Batch ID,Job Order Number,Printing Date/Time,Printer Operator ID,Ink Type,Paper Type,No. of Sheets Used,No. of Cards Printed,No. of Half Cards,No. of Quarter Cards,Accepted Cards,Rejected Cards,Color Matching Data,Quality Control Result (Printing),Printing QC - Alignment,Printing QC - Color Accuracy,Printing QC - Material Integrity,Lamination Date/Time,Lamination Operator ID,Chip Type,Embedding Errors,Chip Serial Numbers,Quality Control Result (Embedding),Embedding QC - Chip Functionality,Embedding QC - Alignment,Network Data,Encryption Key,Laser Engraving Serial,ICCID,Personalization Operator ID,Quality Control Result (Personalization),Personalization QC - Data Accuracy,Personalization QC - Laser Engraving,Audit Trail Logs,PO_number
Batch_11,JO_00011,2022-01-05 ,Operator_11,UV Ink,Composite Materials,28,756,332,424,559,197,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-14 ,Operator_52,Type2,2,Chip_668073,Pass,Pass,Pass,GPRS,Key_4697,Serial_3957,ICCID_103149,Operator_121,Pass,Pass,Pass,Log_17233,PO-0031
Batch_12,JO_00012,2022-01-06 ,Operator_24,UV Ink,Composite Materials,27,1053,487,,200,853,Match_Poor,Fail,Fail,Pass,Fail,2022-01-12 ,Operator_94,Type2,3,Chip_273914,Pass,Pass,Pass,GPRS,Key_5240,Serial_2851,ICCID_979629,Operator_102,Pass,Pass,Pass,Log_53283,PO-0032
Batch_13,JO_00013,2022-01-06 ,Operator_36,Metallic Ink,PET,36,1116,627,,1058,58,Match_Perfect,Pass,Fail,Pass,Pass,2022-01-09 ,Operator_54,Type1,3,Chip_328981,Pass,Pass,Pass,GPRS,Key_2686,Serial_1938,ICCID_396128,Operator_146,Pass,Pass,Pass,Log_65500,PO-0033
Batch_14,JO_00014,2022-01-07 ,Operator_40,Metallic Ink,PVC,15,300,189,111,228,72,Match_Fair,Pass,Pass,Pass,Pass,2022-01-12 ,Operator_73,Type2,2,Chip_127118,Pass,Pass,Pass,UMTS,Key_7968,Serial_7148,ICCID_245845,Operator_148,Pass,Pass,Pass,Log_21853,PO-0034
Batch_15,JO_00015,2022-01-07 ,Operator_24,Metallic Ink,PVC,19,551,398,153,542,9,Match_Good,Pass,Pass,Fail,Pass,2022-01-15 ,Operator_77,Type2,1,Chip_703026,Pass,Pass,Pass,GSM,Key_3645,Serial_3506,ICCID_208924,Operator_103,Pass,Pass,Pass,Log_45202,PO-0035
Batch_16,JO_00016,2022-01-08 ,Operator_3,UV Ink,PVC,11,253,204,49,201,52,Match_Good,Pass,Pass,Pass,Fail,2022-01-14 ,Operator_83,Type3,2,Chip_586836,Pass,Pass,Pass,GPRS,Key_5268,Serial_5584,ICCID_754160,Operator_125,Pass,Pass,Pass,Log_91256,PO-0036
Batch_17,JO_00017,2022-01-08 ,Operator_22,Offset Ink,PET,33,1122,334,,1016,106,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-15 ,Operator_83,Type2,2,Chip_485456,Pass,Pass,Pass,UMTS,Key_3827,Serial_2056,ICCID_680795,Operator_127,Pass,Pass,Pass,Log_56837,PO-0037
Batch_18,JO_00018,2022-01-09 ,Operator_2,Offset Ink,PVC,47,1786,401,,1139,647,Match_Fair,Pass,Pass,Pass,Pass,2022-01-15 ,Operator_91,Type2,4,Chip_352167,Pass,Pass,Pass,UMTS,Key_8368,Serial_3885,ICCID_602517,Operator_127,Pass,Pass,Pass,Log_80808,PO-0038
Batch_19,JO_00019,2022-01-09 ,Operator_24,UV Ink,PET,37,925,497,,727,198,Match_Good,Pass,Pass,Fail,Pass,2022-01-18 ,Operator_70,Type1,0,Chip_192856,Pass,Pass,Pass,GPRS,Key_9197,Serial_2801,ICCID_630253,Operator_123,Pass,Pass,Pass,Log_30585,PO-0039
Batch_20,JO_00020,2022-01-10 ,Operator_44,Offset Ink,PET,37,888,407,481,429,459,Match_Fair,Pass,Pass,Pass,Pass,2022-01-13 ,Operator_63,Type3,0,Chip_926468,Pass,Pass,Pass,GSM,Key_4971,Serial_6368,ICCID_195262,Operator_109,Pass,Pass,Pass,Log_29148,PO-0040
Batch_21,JO_00021,2022-01-10 ,Operator_30,Metallic Ink,PET,48,5000,289,4711,840,4160,Match_Fair,Pass,Fail,Pass,Pass,2022-01-15 ,Operator_61,Type2,1,Chip_477432,Pass,Pass,Pass,UMTS,Key_5709,Serial_3003,ICCID_389324,Operator_136,Pass,Pass,Pass,Log_11722,PO-0041
Batch_22,JO_00022,2022-01-11 ,Operator_38,Offset Ink,PVC,11,407,351,56,363,44,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-18 ,Operator_69,Type1,1,Chip_152631,Pass,Pass,Pass,UMTS,Key_4961,Serial_6192,ICCID_811881,Operator_111,Pass,Pass,Pass,Log_51283,PO-0042
Batch_23,JO_00023,2022-01-11 ,Operator_2,Offset Ink,PVC,14,308,264,44,252,56,Match_Fair,Pass,Pass,Pass,Pass,2022-01-13 ,Operator_99,Type2,1,Chip_816334,Pass,Pass,Pass,GPRS,Key_4815,Serial_8907,ICCID_142725,Operator_139,Pass,Pass,Pass,Log_87401,PO-0043
Batch_24,JO_00024,2022-01-12 ,Operator_21,Offset Ink,PVC,20,420,296,,270,150,Match_Fair,Pass,Pass,Pass,Pass,2022-01-16 ,Operator_82,Type3,0,Chip_503431,Pass,Pass,Pass,GPRS,Key_7306,Serial_7125,ICCID_555904,Operator_107,Pass,Pass,Pass,Log_13372,PO-0044
Batch_25,JO_00025,2022-01-12 ,Operator_33,Metallic Ink,Composite Materials,19,437,276,,355,82,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-21 ,Operator_53,Type3,1,Chip_652017,Pass,Pass,Pass,GPRS,Key_2070,Serial_8301,ICCID_123364,Operator_113,Pass,Pass,Pass,Log_32738,PO-0045
Batch_26,JO_00026,2022-01-13 ,Operator_12,UV Ink,PET,11,407,249,,305,102,Match_Good,Pass,Pass,Pass,Fail,2022-01-23 ,Operator_63,Type3,1,Chip_774196,Pass,Pass,Pass,GPRS,Key_1116,Serial_3432,ICCID_968943,Operator_107,Pass,Pass,Pass,Log_30585,PO-0046
Batch_27,JO_00027,2022-01-13 ,Operator_22,Metallic Ink,Composite Materials,24,672,453,,383,289,Match_Poor,Fail,Pass,Fail,Fail,2022-01-16 ,Operator_78,Type3,2,Chip_936731,Pass,Pass,Pass,UMTS,Key_4346,Serial_7410,ICCID_776883,Operator_142,Pass,Pass,Pass,Log_80299,PO-0047
Batch_28,JO_00028,2022-01-14 ,Operator_44,UV Ink,PET,48,5020,367,4653,1449,3571,Match_Fair,Pass,Pass,Pass,Pass,2022-01-23 ,Operator_72,Type3,2,Chip_366503,Pass,Pass,Pass,UMTS,Key_3330,Serial_4434,ICCID_601679,Operator_147,Pass,Pass,Pass,Log_92956,PO-0048
Batch_29,JO_00029,2022-01-14 ,Operator_25,UV Ink,PVC,46,1334,585,749,790,544,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-19 ,Operator_69,Type3,0,Chip_911666,Pass,Pass,Pass,UMTS,Key_9330,Serial_2848,ICCID_867893,Operator_143,Pass,Pass,Pass,Log_24828,PO-0049
Batch_30,JO_00030,2022-01-15 ,Operator_49,UV Ink,PET,16,544,389,155,450,94,Match_Good,Pass,Pass,Pass,Pass,2022-01-20 ,Operator_81,Type1,2,Chip_623504,Pass,Pass,Pass,UMTS,Key_9517,Serial_7395,ICCID_228935,Operator_113,Pass,Pass,Pass,Log_26352,PO-0050
Batch_31,JO_00031,2022-01-15 ,Operator_27,Offset Ink,PET,29,580,564,16,223,357,Match_Fair,Pass,Pass,Pass,Pass,2022-01-22 ,Operator_70,Type3,1,Chip_549309,Pass,Pass,Pass,UMTS,Key_8354,Serial_4750,ICCID_783472,Operator_106,Pass,Pass,Pass,Log_48852,PO-0051
Batch_32,JO_00032,2022-01-16 ,Operator_42,Offset Ink,Composite Materials,43,1290,1107,183,727,563,Match_Poor,Pass,Pass,Fail,Pass,2022-01-24 ,Operator_74,Type2,2,Chip_396026,Pass,Pass,Pass,GPRS,Key_1552,Serial_9756,ICCID_989009,Operator_104,Pass,Pass,Pass,Log_75549,PO-0052
Batch_33,JO_00033,2022-01-16 ,Operator_28,UV Ink,PET,44,1452,1344,108,1371,81,Match_Good,Pass,Pass,Pass,Pass,2022-01-18 ,Operator_82,Type2,4,Chip_584323,Pass,Pass,Pass,UMTS,Key_7171,Serial_5186,ICCID_202321,Operator_143,Pass,Pass,Pass,Log_97624,PO-0053
Batch_34,JO_00034,2022-01-17 ,Operator_16,UV Ink,PVC,43,1247,385,862,614,633,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-25 ,Operator_59,Type2,2,Chip_326457,Pass,Pass,Pass,GSM,Key_1574,Serial_9964,ICCID_972200,Operator_125,Pass,Pass,Pass,Log_82643,PO-0054
Batch_35,JO_00035,2022-01-17 ,Operator_15,Offset Ink,PET,31,1178,504,674,209,969,Match_Fair,Pass,Pass,Pass,Pass,2022-01-20 ,Operator_69,Type2,0,Chip_750131,Pass,Pass,Pass,GPRS,Key_6954,Serial_9549,ICCID_270597,Operator_120,Pass,Pass,Pass,Log_78801,PO-0055
Batch_36,JO_00036,2022-01-18 ,Operator_47,Metallic Ink,PET,40,1400,1354,46,973,427,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-27 ,Operator_73,Type3,1,Chip_434195,Pass,Pass,Pass,GPRS,Key_2452,Serial_7407,ICCID_449161,Operator_109,Pass,Pass,Pass,Log_13828,PO-0056
Batch_37,JO_00037,2022-01-18 ,Operator_44,UV Ink,PET,32,864,779,85,776,88,Match_Poor,Pass,Pass,Pass,Pass,2022-01-26 ,Operator_75,Type3,1,Chip_288776,Pass,Pass,Pass,GPRS,Key_4351,Serial_4528,ICCID_179048,Operator_125,Pass,Pass,Pass,Log_18525,PO-0057
Batch_38,JO_00038,2022-01-19 ,Operator_3,Metallic Ink,Composite Materials,28,6000,575,5425,536,5464,Match_Poor,Pass,Pass,Pass,Pass,2022-01-28 ,Operator_83,Type1,0,Chip_385434,Pass,Pass,Pass,GSM,Key_9639,Serial_2050,ICCID_278510,Operator_137,Pass,Pass,Pass,Log_30483,PO-0058
Batch_39,JO_00039,2022-01-19 ,Operator_37,Offset Ink,PET,13,338,326,12,300,38,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-22 ,Operator_99,Type3,2,Chip_278509,Pass,Pass,Pass,UMTS,Key_4406,Serial_9501,ICCID_341843,Operator_109,Pass,Pass,Pass,Log_87228,PO-0059
Batch_40,JO_00040,2022-01-19 ,Operator_7,UV Ink,PET,33,1254,331,923,432,822,Match_Fair,Pass,Pass,Pass,Pass,2022-01-22 ,Operator_96,Type2,1,Chip_588928,Pass,Pass,Pass,UMTS,Key_1456,Serial_1892,ICCID_180173,Operator_141,Pass,Pass,Pass,Log_72150,PO-0060
Batch_41,JO_00041,2022-01-20 ,Operator_21,Metallic Ink,Composite Materials,29,754,211,543,561,193,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-24 ,Operator_94,Type1,1,Chip_824680,Pass,Pass,Pass,GPRS,Key_4366,Serial_9759,ICCID_931565,Operator_144,Pass,Pass,Pass,Log_59331,PO-0021
Batch_42,JO_00042,2022-01-20 ,Operator_9,Metallic Ink,Composite Materials,48,1632,1373,259,916,716,Match_Good,Pass,Pass,Pass,Pass,2022-01-25 ,Operator_52,Type1,4,Chip_520054,Pass,Pass,Pass,GSM,Key_2580,Serial_1627,ICCID_266536,Operator_119,Pass,Pass,Pass,Log_51923,PO-0022
Batch_43,JO_00043,2022-01-21 ,Operator_39,Metallic Ink,Composite Materials,37,5280,472,4808,598,4682,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-25 ,Operator_53,Type1,0,Chip_994636,Pass,Pass,Pass,GPRS,Key_3513,Serial_2363,ICCID_632896,Operator_112,Pass,Pass,Pass,Log_70015,PO-0023
Batch_44,JO_00044,2022-01-21 ,Operator_18,Offset Ink,Composite Materials,48,1584,1523,,302,1282,Match_Poor,Pass,Pass,Pass,Pass,2022-01-27 ,Operator_78,Type1,2,Chip_449725,Pass,Pass,Pass,UMTS,Key_7702,Serial_3330,ICCID_776920,Operator_135,Pass,Pass,Pass,Log_86363,PO-0024
Batch_45,JO_00045,2022-01-22 ,Operator_4,Offset Ink,PVC,26,520,220,,473,47,Match_Fair,Pass,Pass,Pass,Pass,2022-01-31 ,Operator_87,Type3,2,Chip_325204,Pass,Pass,Pass,GPRS,Key_1938,Serial_7161,ICCID_383380,Operator_104,Pass,Pass,Pass,Log_32458,PO-0025
Batch_46,JO_00046,2022-01-22 ,Operator_25,Metallic Ink,PVC,28,896,598,,864,32,Match_Fair,Pass,Pass,Pass,Pass,2022-01-26 ,Operator_85,Type1,1,Chip_702289,Pass,Pass,Pass,GSM,Key_9313,Serial_5067,ICCID_728478,Operator_119,Pass,Pass,Pass,Log_88864,PO-0026
Batch_47,JO_00047,2022-01-23 ,Operator_14,Metallic Ink,PET,44,968,519,,322,646,Match_Poor,Pass,Pass,Pass,Pass,2022-01-29 ,Operator_64,Type3,3,Chip_826461,Pass,Pass,Pass,UMTS,Key_2100,Serial_8566,ICCID_447806,Operator_144,Pass,Pass,Pass,Log_11808,PO-0027
Batch_48,JO_00048,2022-01-23 ,Operator_9,Offset Ink,PVC,41,1025,289,,690,335,Match_Poor,Pass,Pass,Pass,Fail,2022-01-30 ,Operator_74,Type1,4,Chip_910153,Pass,Pass,Pass,GPRS,Key_3830,Serial_2442,ICCID_131689,Operator_146,Pass,Pass,Pass,Log_48661,PO-0028
Batch_49,JO_00049,2022-01-24 ,Operator_26,Metallic Ink,PET,48,1824,1268,,236,1588,Match_Good,Pass,Pass,Pass,Pass,2022-01-28 ,Operator_87,Type3,4,Chip_912187,Pass,Pass,Pass,GSM,Key_7043,Serial_7323,ICCID_456297,Operator_106,Pass,Pass,Pass,Log_61378,PO-0029
Batch_50,JO_00050,2022-01-24 ,Operator_2,Metallic Ink,PVC,44,1496,843,653,221,1275,Match_Poor,Pass,Pass,Pass,Pass,2022-01-31 ,Operator_53,Type3,4,Chip_857305,Pass,Pass,Pass,GSM,Key_2548,Serial_4111,ICCID_138650,Operator_131,Pass,Pass,Pass,Log_79547,PO-0030
Batch_51,JO_00051,2022-01-25 ,Operator_20,Offset Ink,Composite Materials,39,897,830,67,810,87,Match_Poor,Pass,Pass,Pass,Pass,2022-02-02 ,Operator_73,Type2,1,Chip_150206,Pass,Pass,Pass,GSM,Key_6410,Serial_5086,ICCID_231366,Operator_147,Pass,Pass,Pass,Log_80018,PO-0031
Batch_52,JO_00052,2022-01-25 ,Operator_28,Metallic Ink,Composite Materials,26,572,292,280,300,272,Match_Poor,Pass,Pass,Pass,Pass,2022-01-31 ,Operator_84,Type3,0,Chip_614905,Pass,Pass,Pass,GSM,Key_7273,Serial_6209,ICCID_829809,Operator_132,Pass,Pass,Pass,Log_41755,PO-0032
Batch_53,JO_00053,2022-01-26 ,Operator_47,Metallic Ink,PVC,38,874,822,52,522,352,Match_Fair,Pass,Pass,Pass,Pass,2022-01-28 ,Operator_59,Type1,0,Chip_285955,Pass,Pass,Pass,UMTS,Key_9000,Serial_1622,ICCID_153600,Operator_109,Pass,Pass,Pass,Log_24335,PO-0033
Batch_54,JO_00054,2022-01-26 ,Operator_7,Metallic Ink,PVC,15,360,351,9,255,105,Match_Poor,Pass,Pass,Pass,Pass,2022-01-31 ,Operator_68,Type1,4,Chip_342303,Pass,Pass,Pass,GSM,Key_7568,Serial_7039,ICCID_412688,Operator_148,Pass,Pass,Pass,Log_25923,PO-0034
Batch_55,JO_00055,2022-01-27 ,Operator_44,Offset Ink,PET,26,962,958,4,635,327,Match_Perfect,Pass,Fail,Pass,Pass,2022-02-05 ,Operator_52,Type3,3,Chip_718298,Pass,Pass,Pass,GPRS,Key_9669,Serial_6719,ICCID_985073,Operator_126,Pass,Pass,Pass,Log_66562,PO-0035
Batch_56,JO_00056,2022-01-27 ,Operator_8,Metallic Ink,PET,26,754,426,328,616,138,Match_Perfect,Pass,Pass,Pass,Pass,2022-02-04 ,Operator_72,Type3,3,Chip_139278,Pass,Pass,Pass,GSM,Key_6044,Serial_8122,ICCID_820499,Operator_106,Pass,Pass,Pass,Log_91796,PO-0036
Batch_57,JO_00057,2022-01-28 ,Operator_47,Offset Ink,PET,23,621,611,10,520,101,Match_Fair,Pass,Pass,Pass,Pass,2022-01-31 ,Operator_85,Type3,2,Chip_913283,Pass,Fail,Pass,UMTS,Key_8309,Serial_3564,ICCID_708587,Operator_137,Pass,Pass,Pass,Log_97109,PO-0037
Batch_58,JO_00058,2022-01-28 ,Operator_35,Offset Ink,Composite Materials,33,1023,1006,17,520,503,Match_Good,Pass,Pass,Pass,Pass,2022-02-05 ,Operator_81,Type3,3,Chip_726803,Pass,Fail,Pass,umts,Key_1743,Serial_1387,ICCID_288888,Operator_143,Pass,Pass,Pass,Log_67149,PO-0038
Batch_59,JO_00059,2022-01-29 ,Operator_14,UV Ink,Composite Materials,46,1012,926,86,595,417,Match_Good,Pass,Pass,Pass,Pass,2022-01-31 ,Operator_76,Type2,4,Chip_931946,Pass,Pass,Pass,GPRS,Key_8654,Serial_1476,ICCID_641503,Operator_134,Pass,Pass,Pass,Log_72771,PO-0039
Batch_60,JO_00060,2022-01-29 ,Operator_17,UV Ink,Composite Materials,49,1813,767,1046,1028,785,Match_Fair,Pass,Pass,Pass,Pass,2022-02-02 ,Operator_64,Type2,2,Chip_218283,Pass,Pass,Pass,GPRS,Key_6160,Serial_9328,ICCID_469256,Operator_140,Pass,Pass,Pass,Log_32847,PO-0040
Batch_61,JO_00061,2022-01-30 ,Operator_36,Metallic Ink,Composite Materials,48,1296,960,336,361,935,Match_Perfect,Pass,Pass,Pass,Pass,2022-02-03 ,Operator_95,Type2,4,Chip_695244,Pass,Pass,Pass,GPRS,Key_1829,Serial_2654,ICCID_460692,Operator_121,Pass,Pass,Pass,Log_78975,PO-0041
Batch_62,JO_00062,2022-01-30 ,Operator_40,Offset Ink,PET,41,820,318,502,443,377,Match_Fair,Pass,Pass,Pass,Pass,2022-02-02 ,Operator_98,Type2,0,Chip_255969,Pass,Pass,Pass,GPRS,Key_9231,Serial_7706,ICCID_855464,Operator_142,Pass,Pass,Pass,Log_17457,PO-0042
Batch_63,JO_00063,2022-01-31 ,Operator_4,UV Ink,Composite Materials,45,1485,1341,144,1413,72,Match_Poor,Fail,Pass,Fail,Fail,2022-02-05 ,Operator_78,Type2,4,Chip_283143,Pass,Pass,Fail,GSM,Key_1034,Serial_1935,ICCID_952656,Operator_127,Pass,Pass,Pass,Log_72261,PO-0043
Batch_64,JO_00064,2022-01-31 ,Operator_2,Metallic Ink,Composite Materials,46,1472,849,623,702,770,Match_Fair,Pass,Pass,Pass,Pass,2022-02-09 ,Operator_61,Type3,2,Chip_637795,Pass,Pass,Pass,GSM,Key_9286,Serial_9244,ICCID_388959,Operator_119,Pass,Pass,Pass,Log_86807,PO-0044
Batch_65,JO_00065,2022-02-01 ,Operator_6,UV Ink,Composite Materials,23,713,178,535,361,352,Match_Good,Pass,Pass,Pass,Pass,2022-02-03 ,Operator_82,Type2,4,Chip_302143,Pass,Pass,Pass,GSM,Key_4770,Serial_4271,ICCID_817004,Operator_127,Pass,Pass,Pass,Log_50580,PO-0045
Batch_66,JO_00066,2022-02-01 ,Operator_42,UV Ink,Composite Materials,36,792,347,445,623,169,Match_Perfect,Pass,Pass,Pass,Pass,2022-02-05 ,Operator_71,Type2,1,Chip_561224,Pass,Pass,Fail,GPRS,Key_5064,Serial_7113,ICCID_715024,Operator_103,Pass,Pass,Pass,Log_83416,PO-0046
Batch_67,JO_00067,2022-02-02 ,Operator_4,Offset Ink,PVC,28,1036,965,71,430,606,Match_Good,Pass,Pass,Pass,Pass,2022-02-07 ,Operator_73,Type3,2,Chip_439809,Pass,Pass,Pass,GPRS,Key_6808,Serial_4821,ICCID_140341,Operator_125,Pass,Pass,Pass,Log_31780,PO-0047
Batch_68,JO_00068,2022-02-02 ,Operator_29,Offset Ink,PET,40,1280,777,503,317,963,Match_Good,Pass,Pass,Pass,Pass,2022-02-10 ,Operator_74,Type3,3,Chip_153430,Pass,Pass,Pass,GPRS,Key_1249,Serial_3911,ICCID_210593,Operator_134,Pass,Pass,Pass,Log_71290,PO-0048
Batch_69,JO_00069,2022-02-03 ,Operator_18,UV Ink,PET,18,612,500,112,397,215,Match_Perfect,Pass,Pass,Pass,Pass,2022-02-09 ,Operator_62,Type1,0,Chip_660964,Pass,Pass,Pass,GSM,Key_7735,Serial_8940,ICCID_313670,Operator_121,Pass,Pass,Pass,Log_83558,PO-0049
Batch_70,JO_00070,2022-02-03 ,Operator_26,UV Ink,Composite Materials,47,1363,225,1138,930,433,Match_Poor,Pass,Pass,Pass,Pass,2022-02-12 ,Operator_53,Type1,3,Chip_268452,Pass,Fail,Pass,GSM,Key_8557,Serial_8711,ICCID_332376,Operator_111,Pass,Pass,Pass,Log_39270,PO-0050
Batch_71,JO_00071,2022-02-04 ,Operator_44,Offset Ink,PVC,26,520,376,144,516,4,Match_Perfect,Pass,Pass,Pass,Pass,2022-02-13 ,Operator_56,Type1,4,Chip_774806,Pass,Pass,Fail,GPRS,Key_1865,Serial_2733,ICCID_807439,Operator_127,Pass,Pass,Pass,Log_70663,PO-0051
Batch_72,JO_00072,2022-02-04 ,Operator_34,Metallic Ink,PET,28,700,274,426,266,434,Match_Perfect,Pass,Pass,Pass,Pass,2022-02-10 ,Operator_98,Type2,3,Chip_244702,Pass,Pass,Fail,GPRS,Key_9572,Serial_3022,ICCID_663406,Operator_128,Pass,Pass,Pass,Log_97387,PO-0052
Batch_73,JO_00073,2022-02-05 ,Operator_10,Offset Ink,PET,13,364,204,160,221,143,Match_Fair,Pass,Pass,Pass,Pass,2022-02-08 ,Operator_62,Type3,2,Chip_932771,Pass,Pass,Pass,GSM,Key_4880,Serial_9344,ICCID_812342,Operator_104,Pass,Pass,Pass,Log_94550,PO-0053
Batch_74,JO_00074,2022-02-05 ,Operator_36,UV Ink,Composite Materials,20,580,378,202,472,108,Match_Perfect,Pass,Pass,Pass,Pass,2022-02-09 ,Operator_70,Type1,1,Chip_401426,Pass,Pass,Pass,GPRS,Key_4743,Serial_3413,ICCID_756701,Operator_144,Pass,Pass,Pass,Log_46321,PO-0054
Batch_75,JO_00075,2022-02-06 ,Operator_14,Metallic Ink,Composite Materials,31,1054,962,92,271,783,Match_Fair,Pass,Pass,Pass,Pass,2022-02-09 ,Operator_56,Type1,3,Chip_245704,Pass,Pass,Pass,GSM,Key_6140,Serial_1077,ICCID_489900,Operator_141,Pass,Pass,Pass,Log_10727,PO-0055
Batch_76,JO_00076,2022-02-06 ,Operator_31,UV Ink,PET,13,364,282,82,264,100,Match_Good,Pass,Pass,Pass,Pass,2022-02-12 ,Operator_70,Type2,4,Chip_275755,Pass,Pass,Pass,GSM,Key_6367,Serial_5719,ICCID_522776,Operator_148,Pass,Pass,Pass,Log_44486,PO-0056
Batch_77,JO_00077,2022-02-07 ,Operator_48,Metallic Ink,PET,26,858,524,334,843,15,Match_Perfect,Pass,Pass,Pass,Pass,2022-02-16 ,Operator_64,Type1,3,Chip_483970,Pass,Pass,Pass,GPRS,Key_6111,Serial_1497,ICCID_724942,Operator_126,Pass,Pass,Pass,Log_98474,PO-0057
Batch_78,JO_00078,2022-02-07 ,Operator_15,UV Ink,PVC,17,510,316,194,335,175,Match_Poor,Fail,Pass,Fail,Fail,2022-02-12 ,Operator_91,Type3,3,Chip_943684,Pass,Pass,Pass,GPRS,Key_7555,Serial_1599,ICCID_623411,Operator_121,Pass,Pass,Pass,Log_94662,PO-0058
